" CD73"	" TCF1"	" CD226"	"TIGIT"	" CD127"	" CD8"	" FoxP3"	" dump"	" CD39"	" CD28"	" CD3"	" IgG4"	" Eomes"	" CTLA-4"	" Ki67"	" Tox"	" Tim3"	" T-bet"	" PD1"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"
"6"	0.5	0.5	0.5	0.518322046109995	0.5	0.5	1.55070050180832	0.676507538744121	0.5	0.5	0.5	0.5	0.531190266222674	0.5	0.5	0.525504312306654	0.631535251707558	0.5	0.628142535170023	0.827046584823745	1.00393297501373	0.582346954193063	0.840326880600101	0.572282024996323	1.28087850777836
"4"	0.540055520114068	0.5	0.5	0.5	0.5	0.5	1.5116956512038	0.729490200900138	0.5	0.5	0.5	0.5	0.504132530591588	0.5	0.5	0.5	0.659023474788883	0.54404535476376	0.546889387278849	0.922842761735071	1.07491421029149	0.693539126397002	0.833661207164966	0.571219024442184	0.996654230534123
"7"	0.609488814999589	0.5	0.5	0.5	0.5	0.5	1.47502618416189	0.707477369818699	0.5	0.5	0.5	0.5	0.593942845224235	0.5	0.5	0.53568972379756	0.672345125180172	0.538561392860409	0.510221530008818	0.86652396624097	0.7207997695448	0.629950674510552	1.09245719354897	0.767726566256387	2.5118769152188
"8"	0.570223256676357	0.5	0.5	0.500496744082104	0.5	0.5	1.57244835758149	0.68140029027982	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.641276354545004	0.59148593512235	0.590790564596563	0.793446186225388	0.804280591814231	0.638326380689161	0.941771750255228	0.679297039747913	2.66549869417983
"1"	0.56265585617632	1.8636969761866	1.0250289221037	1.56324673919596	1.47081609101694	0.789020806224356	1.40723955505239	0.682191159738962	0.691022243223935	0.531019718223273	0.5	0.5	0.5	0.603165251762885	0.915106792805614	0.85719870750611	1.01782385271179	0.58731054000597	0.86692487851494	1.39758799208126	0.581326974238054	0.932499356209197	0.52540437873787	0.989874403345636	0.865964227176897
"12"	2.76209734647804	0.5	0.5	0.5	0.5	0.5	1.53476179496526	0.781864684657369	0.5	0.534805777976942	0.5	0.5	0.951203969422269	0.5	0.5	0.521667602348203	0.849570121877846	0.763700524545148	0.535823597309764	0.54252923353034	0.562081291762279	1.36754097821105	0.950530336066987	1.00614175096086	2.78652716178858
"11"	3.09791583798071	0.5	0.5	0.5	0.5	0.5	1.60226138026719	0.776366647698219	0.5	0.516782446371804	0.5	0.5	0.711442064830823	0.5	0.5	0.604994704976426	0.877696918258292	0.865671916858613	0.5	0.628971662519345	0.732355703045166	1.42776587780392	1.01602887033935	1.12294918133743	2.8736856305159
"13"	1.53424440151128	0.5	0.5	0.5	0.540684145761508	0.5	1.46186495966385	0.803465400108511	0.5	0.5	0.5	0.506514642739171	1.20116755077626	0.5	0.5	0.578956103271922	0.834822580870241	0.815210832885127	0.5854963055081	0.5	0.849251431716516	1.24365525133807	0.919383086806775	1.11669768333449	2.9550940612349
"3"	3.4170207159119	0.5	0.5	0.544729717019045	0.652285710511302	0.5	1.42902517595276	0.739886797508422	0.690725687421533	0.657861795833917	0.5	0.523342630617027	1.22578012650556	0.5	0.5	0.744715130603259	1.0788840554494	0.870091156183496	0.5	0.5	0.5	1.55048690103086	0.976397772150992	1.22078280069037	2.66628869838506
"2"	1.18615581031836	0.5	0.5	0.5	0.5	0.5	1.4273568290302	0.7397571374646	0.5	0.566480993496679	0.5	0.5	0.735421421872657	0.5	0.5	0.553864723306627	0.817057846322005	0.5	0.551724102598077	0.563518977153751	0.5	1.16133873169328	1.17925650715535	0.990348928780751	3.00182878888415
"5"	3.59467013034719	0.5	0.5	0.5	0.5	0.5	1.41912366265743	0.838758856705108	0.5	0.681685777132558	0.5	0.5	0.676178289618387	0.5	0.5	0.5	0.791142308343775	0.919644878307294	0.5	0.86516134090656	1.02752991442627	1.43953742446252	0.946161834882342	0.604255836363803	1.2336209993299
"9"	4.28286474044299	0.5	0.5	0.548052155079738	0.5	0.5	1.42496187890129	0.767133085700305	0.5	0.5	0.5	0.5	0.524029068144091	0.5	0.5	0.5	0.657932336422134	0.641402852467619	0.51119617301445	0.942906032778024	0.552953906666065	1.89588205813123	0.6858180218747	0.574141466424026	1.8735927129514
"15"	2.18390112536689	0.5	0.5	0.5	0.5	0.5	1.5263893614492	0.722050713398581	0.5	0.52991977028758	0.5	0.5	0.541989855384215	0.5	0.5	0.563897576445998	0.673266684690794	0.935018399514061	0.5	0.5	0.575843749791916	1.90530792281653	1.17954726468066	1.50054753082545	2.63825633720722
"16"	2.60405280504871	0.5	0.5	0.5	0.5	0.5	1.46826631495543	0.545955987312556	0.567983694205022	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.607721603160093	0.718484085151894	0.568021973554098	0.5	0.5	1.91443326639272	0.927836537660685	0.773828544359755	2.77374283142632
"14"	2.8678312925297	0.539075512510227	0.5	0.5	0.601987992172599	0.5	1.40184842150988	0.706818152482084	0.659563299084631	0.5	0.5	0.5	0.5	0.5	0.5	0.582304301090798	0.800525311287142	0.925164220522007	0.589576631338334	0.51200419073655	0.832127332646438	1.7303102142462	0.8633649759324	1.50984482257487	2.65848473222372
"10"	1.37905323861542	0.5	0.5	0.501037517935449	0.5	0.5	1.38708987476722	0.726948664810221	0.5	0.556765288321138	0.5	0.5	0.505592099648309	0.5	0.5	0.5	0.678092943897577	0.658142602879333	0.53125154079757	4.4049576987223	0.599204257710333	1.44763584570425	0.743758670373944	0.665790476393102	1.36453903521116
"17"	2.13161452612242	0.5	0.5	0.541342538329998	0.753427808325053	0.71857224072432	1.56955829129864	0.703473791815094	0.73623901493045	0.5	0.5	0.5	0.585410915773977	0.5	0.513553266346397	0.607482217276212	0.734261758706295	0.731261116742824	0.876750383966589	1.60144136279608	0.700069318155014	2.19954363611337	1.00726461066437	2.24585773257509	3.14708542279214
"20"	1.62031327365617	0.5	0.5	0.5	0.77507513137972	0.618343197047658	1.46327141370764	0.65496567121504	0.68387569380758	0.5	0.5	0.5	0.5	0.5	0.5	0.551631694718135	0.736452462151944	0.748853706751941	0.653194425697322	1.32597468104407	0.552973822582674	1.83692857052326	0.800921569941846	1.29379919104075	3.06643309547931
"18"	1.4548704281693	0.5	0.5	0.5	0.668048672213908	0.578598027593356	1.41142008488852	0.677600232628783	0.591941585130451	0.5	0.5	0.5	0.5	0.5	0.5	0.521368097959113	0.651158382602069	0.621666008225101	0.593630125620246	4.30724059145762	0.5	1.67481517791964	0.727437619975347	0.995772803221312	2.78879262514432
"19"	1.53677339964766	0.811460375265355	0.517537009140562	0.711957225518509	1.03930591061116	0.89089982304388	1.43218203941689	0.715645401879808	0.674644980182551	0.668760439860773	0.5	0.5	0.577854536652395	0.657330723304133	0.64854053731274	0.67859496248559	0.89548484377833	0.746800362463551	0.578716902638979	3.25549412735287	0.961276071005823	1.4382173534678	0.743710328437819	1.35756628258303	2.48885619044501
