" TCF1"	" CD226"	" CD127"	" Ki67"	" CTLA-4"	"TIGIT"	" Tox"	" Tim3"	" CD3"	" CD8"	" PD1"	" T-bet"	" Eomes"	" IgG4"	" CD39"	" dump"	" CD28"	" FoxP3"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"	" CD73"
"11"	0.5	0.5	0.623167391413811	0.5	0.5	0.5	0.537926383353463	0.744111481080367	0.5	0.5	0.539946431233624	0.745808133697727	0.5	0.5	0.663395931008975	0.599659078245272	0.5	1.50461407695434	0.523994344913089	0.5	1.87137114379955	0.862687591848573	1.00499601976841	2.87355621844964	2.70730709450097
"16"	0.5	0.5	0.666477546849815	0.5	0.5	0.5	0.5	0.656532307096391	0.5	0.5	0.554342049389805	0.855269396009832	0.5	0.5	0.581068778286759	0.761955893112659	0.5	1.27940083746781	0.717258747097612	0.668179325305072	1.79717073793984	0.86861858690887	1.04145990328551	2.85524832413007	1.9807562235964
"15"	0.5	0.5	0.50196945111329	0.5	0.5	0.520497327919602	0.52725018779326	0.63520519939117	0.5	0.5	0.5	0.716270742385462	0.52275305204344	0.5	0.525441948587996	0.710650533686229	0.5	1.45637499024273	0.818904681024278	0.643498098607806	1.88513399711419	0.890689077154536	0.828102251661933	2.61082900606617	3.49369010745316
"1"	0.5	0.5	0.780021245947014	0.520115006106916	0.5	0.552773884485814	0.617758537978808	0.748916363649889	0.5	1.19127815535031	0.740711109660029	0.737122429136599	0.553851235939045	0.5	0.650002323209738	0.706454832808626	0.5	1.56533990819553	2.39265791250107	0.61279346070503	2.05304488625417	0.849191889300492	1.98073111759921	2.95757744258291	1.55586506013068
"4"	0.5	0.5	0.656254868999004	0.5	0.5	0.5	0.5	0.625113962217606	0.5	0.652958952746448	0.615779403639758	0.745183388110445	0.5	0.5	0.56624183542865	0.651014890926994	0.5	1.48144560308426	0.751194753616069	0.528442634073869	1.9361506868284	0.819232761981025	1.22791915198735	2.83212926508049	1.89235676405687
"8"	0.5	0.5	0.512999314762875	0.5	0.5	0.5	0.5	0.692486296348663	0.5	0.5	0.525030248956716	0.708633270121224	0.5	0.5	0.534140155206737	0.639325428205506	0.5	1.43105519514598	0.867476121802617	0.514820585986871	1.83806607059099	0.837179692773899	0.981602301166341	2.88467109153991	1.60001329911382
"13"	0.649613875439169	0.552768120420762	0.830635510929701	0.5	0.5	0.633158363300886	0.648770342767701	0.851722184274613	0.5	0.65402445145759	0.65791314816086	0.605691547762447	0.512711416246443	0.5	0.601121495449992	0.704388180276449	0.5	1.41008132291755	4.5539654432707	0.533679429876275	1.72850610702077	0.513867012965376	1.32439250913286	3.04842946941035	1.8169424254264
"7"	0.5	0.548801565217901	1.22292268484451	0.567410228152381	0.5	0.565444946024398	0.577141517087421	0.723170522107904	0.5	1.83995282583138	0.903036910430827	0.678287878215253	0.5	0.5	0.887237430337979	0.646866990328864	0.5	1.40831203181323	3.14615445523151	0.587853201311941	1.68410500806337	0.535947952236086	1.67003519982827	2.80028541061657	0.966716121945027
"20"	0.5	0.5	0.5	0.5	0.5	0.51454385473974	0.512370897229429	0.67453639738127	0.5	0.5	0.5	0.700021469545673	0.5	0.5	0.56110720951254	0.736855465417344	0.51100452947194	1.32099989589117	2.61047420703805	0.852326502497823	1.49120695402022	0.773458898837484	0.663071396114233	1.47890523096092	1.90575583253926
"18"	0.949833527565231	0.565731960737073	1.13086306287681	0.592503137774596	0.704381813120243	0.740115702777129	0.683415994301947	0.901351697312156	0.5	1.12987109052249	0.61781117139728	0.734145068477457	0.611695698378834	0.5	0.704070658727365	0.718427230275266	0.697644338857057	1.44626923120971	3.80275145008402	0.978027825496342	1.28364335953401	0.758820910367626	1.45615170225166	2.47391643685515	1.46461759426948
