" CD73"	" CD4"	" CXCR5"	" TCF1"	" CD226"	"TIGIT"	" Tox"	" CD127"	" Tim3"	" CD8"	" CD27"	" CTLA-4"	" Ki67"	" CD3"	" Eomes"	" IgG4"	" T-bet"	" PD1"	" CD39"	" CD28"	" dump"	"CD45RA"	" CD38"	" FoxP3"	" CCR7"
"4"	2.75949023774614	2.80152619997641	1.51434932082271	6.14989737824298	5.95137444728763	4.3829872251246	3.796090616144	4.89623583961571	3.42951506052441	6.43656058708708	6.33379839206832	4.79039963550612	5.93376615193182	7.52001611879708	4.59634011245666	3.71213216728176	4.35674172595343	3.63617969968901	5.15170617224088	6.16918619148669	3.78940592252557	5.4459883951615	2.8455234739618	3.27909853695446	4.20422000413626
"19"	2.14720232527312	1.65504130460645	3.1574357659915	6.38120180132441	6.22573114795625	4.44466150326598	4.06151558044606	5.07504838502162	3.5862864180358	6.74006484804698	6.04154805611866	4.82303114009073	5.87800491821324	7.45460913389327	4.27412496181737	3.78206940404621	4.40830155112769	3.72562550970762	5.42385734542249	6.37483971297011	3.98080631036599	5.19242145333445	3.55693575769416	1.72189914075459	2.74542946184448
"13"	3.16552171574604	2.84255190997873	2.75425730203985	6.26869395659647	6.10482747551537	4.32210756481186	3.95790020630302	4.96339703952898	3.66254889344774	6.60554481160429	6.30075991089106	4.85200190574326	5.9623921245209	7.51189897681081	4.37000213153549	3.7595031671108	4.02060311178949	3.63561019104321	5.20401315130747	6.33286936017652	3.97882632930235	5.16136841580233	3.20012925851575	2.03810975647377	3.72292772191727
"11"	3.02005329626397	2.89290136539254	3.20826130762417	6.32529838958696	6.2216444187686	4.51047433850924	3.99769718449997	4.96180391299813	3.48266929920023	6.76984785459445	5.54114711484814	4.89642778675511	5.80936026553404	7.2787342805843	4.34940725432344	3.77187234650384	4.39829877628139	3.94539008569754	5.48687172473489	6.2042289049063	4.10922659308924	5.07835750122164	3.72805653694475	3.02519610732344	3.45298688230788
"1"	3.34775529978483	1.86833948878806	3.79800403996965	6.42319580222293	6.17709468352531	4.53791315430155	4.12113852532771	5.08422781074493	3.5934548970775	6.71688096944133	3.85344125107081	4.88384113431897	5.42224981459257	7.22623785298902	4.30338882202647	3.82581614530417	4.47351795170904	3.70365670142588	5.43784116873646	6.42518266567192	4.12260292960467	4.92403300169747	3.66591501190948	2.1292719587788	3.60664288320374
"15"	3.08967002446976	2.70720845613446	3.15339938128331	6.29539888387415	6.3315986127457	4.49767534589525	4.02351718359879	4.96746381570301	3.60093966455679	6.71990609281206	5.60590174369622	4.80377130069465	5.76399181586242	7.29162669293665	4.42627318048955	3.69433619477894	4.59320851511239	3.83449663617074	5.60265342068003	6.13846621939833	3.89542495420237	5.02807398850312	3.64845638117896	2.1266043733075	3.51559651071114
"6"	3.31192210728635	2.90179650660096	3.4248948283382	6.45058429782667	6.14800889102756	4.53120903675902	4.07594837469949	5.08200734544552	3.52819802397257	6.72005447772738	5.74608682394414	4.85975566448267	5.72343152172531	7.30505477462374	4.27278209718602	3.76254224198866	4.3922261526195	3.82762371897509	5.24931368351769	6.18477465492853	3.99220959209441	4.98905687283195	3.61288396286486	2.29777455350858	3.36648006747903
"2"	3.15141033312221	1.07661281559776	3.90489343521846	6.08173052497755	5.94696475273381	4.25626715425119	4.02879968352279	4.95155772484324	3.42605620009046	5.90892919368428	3.99159907828747	4.6706811095678	5.21651010486131	7.42761019162009	4.56714614110158	3.88044078825894	4.36145110655526	3.25823596487543	5.24055369446543	6.44489101259023	4.11799831845401	4.88113431081183	0.478773008099581	3.09255983133012	1.98660963724235
"12"	3.0582703836047	2.21751362686977	3.24678944052592	6.36445213459566	6.08412488301808	4.47765395472305	3.94320637641179	4.95081581170233	3.55251523420413	6.62224146489115	5.91732844167258	4.91241716409834	5.8028563509371	7.48095416607622	4.33602448358416	3.69549251911054	4.19430977195288	3.59928716448079	5.22575947730641	6.42438826726088	3.89129352588473	4.91829561616046	3.32197539579629	2.6404835226832	3.77259307532677
"3"	3.1135526616003	2.33776252769019	2.70902527239113	6.20677303012208	6.0053606053646	4.44573568412085	3.75070259310533	4.77707387182689	3.34747884244795	6.43445341839548	6.09669841969214	4.83689790819487	5.74644605786903	7.55858012629586	4.50776184432683	3.6291711037571	4.49824643044247	3.59888773334374	5.20495480496797	6.25760202708339	3.90236682876939	4.86703311337877	3.31517274030848	2.10880969043564	3.90289580119199
