" TCF1"	" CD226"	" CD127"	" Ki67"	" CTLA-4"	"TIGIT"	" Tox"	" Tim3"	" CD3"	" CD8"	" PD1"	" T-bet"	" Eomes"	" IgG4"	" CD39"	" dump"	" CD28"	" FoxP3"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"	" CD73"
"6"	4.16083762250327	4.12951277413384	3.00392933035865	3.57630324278802	2.56743691535323	2.09912323254638	1.99728113828502	1.58651113377848	5.20108103105652	4.62096489247908	1.50340587248004	2.61500761413611	2.13533247221185	1.71749760404836	3.39152613211003	1.94958237369273	4.71900045654736	0.159236051404596	3.6007994849736	3.51527872828346	2.62638014589627	0.875509121543014	1.59571822671231	1.47192827004314	4.41443179756509
"3"	4.10328894737415	4.13750131540326	3.03561304174104	3.74802733637815	2.54674850365827	2.24972381608546	1.97237178286568	1.55957830004988	5.47326186477811	4.7172332575328	1.69410096243425	2.5029075301014	2.23962537920984	1.67171284477339	3.36126082155963	1.82472422846549	4.48849540459435	0.117880009444946	4.0099235185355	3.66194581322588	2.27097119519536	0.469058920515992	1.53341015301058	0.732207035048886	4.04703614705185
"14"	4.09473760498025	4.07065152182154	2.93145253155368	3.45805081457518	2.52171021809489	2.10938075320349	1.91650794558916	1.46638569697702	4.91089482639202	4.69858208181311	1.6406277431839	2.5181626976778	2.05254705866377	1.63277421182827	3.31170656515431	1.88679621527887	4.28007718461207	0.0504967824590607	3.27420287390047	3.28912353238109	2.01628080567389	0.858826919275737	1.67820746489467	1.52014961296708	3.74016263859314
"19"	1.43544229657528	1.81979968479801	0.729259572319475	2.6422072064964	1.62202131189234	0.509742647174137	0.545781903567689	0.227903946854821	4.0953230868049	0.269804881926393	1.01807178545547	2.10299893819766	1.99775539288215	1.62438395814587	3.6326035429501	2.84259415730841	4.35227593730567	0.697736548872941	1.33085794341208	5.50391860544502	2.5011116444816	4.15166628683838	3.22210004136506	2.94090258000809	4.43077135312838
"10"	3.98086556036015	4.00193093645688	2.88350411382585	3.6696447153192	2.48248295811733	2.15093630522916	1.80848572548802	1.40982059065603	5.19109251737381	4.56895167768133	1.70748579858741	2.50148036554635	2.28936048589906	1.56499134139141	3.2124270813223	1.68530202580549	4.13893012894758	0.225379591805678	4.0563422736282	3.9086561277679	1.68567148969154	0.305619632794645	1.38961210909424	0.478416133364789	3.46927355258004
"12"	3.95654451066287	3.93411532685681	2.8907987850556	3.60365370575935	2.48859433774539	2.07303246551081	1.7545967170074	1.30254142041835	4.99676105410313	4.54559082111188	1.73831704245467	2.47146584238934	2.17606080492131	1.56046424560803	3.19182239199549	1.69321089456286	4.0671765204951	0.206127551387684	3.93716002145669	4.85593200474215	1.67812415269229	0.405886282191863	1.4589926741133	0.72738628507449	3.35866464479161
"2"	3.96145505641504	4.05094520996043	2.8415734156838	3.76437740913815	2.49872184741238	2.34688665544346	1.75004682989547	1.33110857718129	5.64188529295813	4.59698204277468	1.87343571913121	2.45345548089839	2.46461783859198	1.61531029014037	3.31662770245373	1.84628319370826	4.11511630090091	0.425394215401525	4.07236906135908	3.47887608728743	1.11814291228897	0.42050522086254	1.21803865232607	0.374887147046119	2.31822969839205
"5"	4.01948385280094	3.98360093699915	2.84333043840632	3.69796448758384	2.5545501809954	2.29767007540312	1.73858056468837	1.30732700766473	5.32825848300026	4.58165274294564	1.78136577452629	2.38745095598036	2.24908551006831	1.55598470074664	3.2082094099693	1.69020701746994	4.01030313671637	0.2527702439063	4.04249090061824	3.31455392937972	0.83684071586491	0.49346585140559	1.23485459523396	0.145614081070139	1.56135926786883
"9"	3.87474438440748	3.88626529243301	2.82728989771215	3.65997395822335	2.42908549669262	2.11336494567591	1.74576954809096	1.28829671461253	5.1400086902523	4.52621063690303	1.72787701570306	2.40392352297824	2.26344111002125	1.4944930434195	3.07505513702967	1.69742842505979	3.71273299866112	0.460765816126014	4.08928454574979	3.61534318290293	0.891608725169819	0.205532017195808	1.20773153490838	0.107271414393766	1.29091740518109
"17"	4.09940283105037	3.96153983305013	2.86417530367685	3.37926792556484	2.55255823715037	2.21412126569752	1.79396193730597	1.3733730820607	4.68268465241031	4.62430106948664	1.71013062855262	2.22907233656758	1.98822548173658	1.5344528984914	3.17982721984041	1.77846510560718	3.90632603186812	0.211376605001476	3.04013848316453	2.86799274722096	0.615483742136021	1.15453639016026	1.63144208217968	1.33431348753427	0.743863594936901
"11"	4.00448686515904	3.82632175378065	2.67006121886784	3.64367224712827	2.55264290359459	2.15871988540161	1.731872263127	1.29696060500736	5.10311962242267	4.35772362302567	1.49288654951168	1.95260866326266	2.1179368725741	1.48883692029572	3.06740206836849	1.73141110584154	4.02874677363669	0.265578318381154	3.89192548375352	2.65017736050958	0.32973968816102	0.785623924030652	1.1510615583471	0.55369280286916	0.0160252524549516
"16"	4.00693680114183	3.71461227825069	2.44230752799597	3.47078909626044	2.55503749066385	2.02535147963387	1.63425056714952	1.26806837930312	4.86574839376404	3.94340456703736	1.21507238647419	1.84437374711288	2.10960719638251	1.4649292282757	2.87156917479698	1.60766069247467	3.80631680814041	0.745717079082762	3.65557872230641	2.44891145869158	0.154628016530944	0.71335302604847	0.865311253882437	0.118511961523439	0.26817320144533
"15"	4.11434623639859	3.84240170978086	2.75072367606324	3.49065542684274	2.57959042831411	2.11209561623349	1.76926628794506	1.32380228099669	4.93286754683667	4.41470930992962	1.51157155699502	2.08598936734509	2.03179509155513	1.48645402915103	3.00214598219666	1.6888139033619	3.98713256111666	0.473943498028968	3.59273568002637	2.78495647519149	0.42233133715845	0.88028263461516	1.34608514362015	0.479667279087247	0.234448976561256
"1"	3.96883427996749	3.8285097033473	2.57450610049195	3.5557249283072	2.52678829668252	2.21902068345708	1.69977748080665	1.38452808832584	5.64549683403169	4.10294506679957	1.18075597250329	1.97024258449826	2.18885395680359	1.55348935957071	3.04360002446638	1.77395213054918	4.35676809593823	0.507871627481527	3.47168295425896	2.71196106838942	0.109423154885045	1.32583518257105	0.618251308009807	1.21787566429971	0.656698925221166
"4"	4.10676305328255	3.86568359414097	2.66691676091222	3.6058814637261	2.6649402087667	2.24638800623698	1.72348235230206	1.40405107347451	5.44338462578979	4.17812200063289	1.34523566888603	1.89959624269747	2.12566519442169	1.52997556717202	3.05353794120068	1.70976445203817	4.23280555539969	0.46575442799754	3.73695085377575	2.62611216811356	0.0537718562092271	1.10611387858648	1.00226536270625	1.23592653760403	0.585751042529754
"8"	4.09200005733426	3.8226542711543	2.65135390759933	3.55698003938248	2.63897146201716	2.1866742639969	1.74947626613635	1.37567085498815	5.28271343509771	4.24746693554853	1.30832209329038	1.81656789285246	2.05166218753028	1.49257807801134	2.99905588277089	1.6815337676315	4.18322721393123	0.627294244971311	3.76400765315662	2.61099280045481	0.119606182340027	1.09638988949643	1.07171151916333	1.0535188679579	0.54018689144218
"13"	4.01230092594477	3.73067290171055	2.6213820773621	3.23155425231064	2.55403950971968	2.07744582276819	1.69653604407461	1.27954600127167	5.09557196096449	4.15259096500455	1.29601385045997	2.01530763926746	2.03937012004929	1.5475305059836	3.10855035519269	1.91181897910939	4.17139212037068	0.692690330852964	1.81612269600366	2.58536508714614	0.16310536929593	1.58811016403305	1.0705241386092	0.0701808951089798	0.850869524748159
"7"	3.91828833887308	3.74893692186756	2.33319759518707	3.2774663603354	2.54286240175591	2.02907337992993	1.64478303031468	1.31370093618425	5.28527638897274	3.73429782142428	1.09820328621944	2.02906917340605	2.14966098090109	1.49201700543842	3.00240944010191	1.79449261710724	4.10952769559846	0.70293643107668	2.5692992209756	2.34402060619419	0.137674334231195	1.40045509334762	0.533183723692663	0.234960854388795	0.927464676225912
"20"	3.97064537277212	3.61213856494652	2.56042510747469	3.13388248646969	2.47220161836369	1.93636423219381	1.6866575613003	1.15210653586367	4.50500799471177	4.11807711460313	1.28726351524832	2.02644742179858	1.9801568561985	1.41344477389631	2.80743769153396	1.55999478356243	3.65569045260833	0.795804051445429	2.71095745205313	2.43719219487677	0.227925067863426	1.04808150686763	1.11683864084521	0.938564635631486	0.654115311245053
"18"	3.60184763929454	3.44007408114154	2.26406601072151	2.95614995821527	2.23286916782155	1.88076710725854	1.47634945303894	0.974205382578943	4.82763076836413	3.49149426903931	1.19347840708206	1.98881738568154	2.09222080511973	1.45592656558881	2.62583711699172	1.69413860618765	3.51827269846956	0.903848551536148	2.10891182742317	2.30097295656779	0.0759428493898563	0.974335776290176	0.40479111906492	0.437430441460495	0.724515126513424
