" TCF1"	" CD226"	" CD127"	" Ki67"	" CTLA-4"	"TIGIT"	" Tox"	" Tim3"	" CD3"	" CD8"	" PD1"	" T-bet"	" Eomes"	" IgG4"	" CD39"	" dump"	" CD28"	" FoxP3"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"	" CD73"
"6"	0.14232123400939	0.215542790065426	0.499466690445914	0.0931514658977268	0.046151171420606	-0.125505274427373	0.414438183884945	0.441815875182475	0.166186499597726	0.360507639102219	-0.0556376721909915	0.883642734782486	0.124532189857437	0.152904227224948	0.354628353867408	0.254416367522508	0.730638645251399	-0.229977740956268	0.589818424216317	0.597960844789346	4.06470526105887	-0.372553247972681	1.31149606214656	2.30602005112568	10
"3"	0.0915329442596674	0.23359009403576	0.546488842604806	0.251719733661737	0.0270039452286446	0.214008380907482	0.280217613266616	0.404680945394569	0.357606568829557	0.462504664347548	0.411538715774608	0.714546174493397	0.113538776958645	0.114326808525209	0.345569491974747	0.107970118211766	0.553544137385903	-0.313714441239804	1.15872660722521	0.98410187440628	3.455541210718	-0.397567684932227	0.874921751334364	0.290779005565362	8.90459896738313
"14"	0.0823036399396716	0.165452799267312	0.454845121560933	-0.0865990147533888	0.00138854346953158	-0.125575331687894	0.352951617972945	0.285062922150013	-0.252456480179837	0.438398445247302	0.256596311251931	0.627815951780627	-0.0654430353803884	0.0746590274551085	0.301229466014166	0.159768993451151	0.374891095578581	-0.339997362068533	-0.621025323794814	0.481433533391745	2.49461525747602	-0.370493880192735	1.37987506679173	3.06447941476962	7.29757784633911
"19"	-2.33087209957706	-1.88366205730975	-1.83677380462727	-0.797478541124113	-0.818524065893675	-1.47677370056033	-1.1039328649347	-1.01515724130274	-0.934163853772957	-3.7571686934355	-0.469900894397784	-0.599211564772975	-0.244054758514425	0.0672802091150542	0.430377876175174	1.03620681421779	0.415368846915004	0.412738927782261	-2.07061658946567	3.4356731788331	2.6679881835295	3.94895806779334	1.85888759175653	4.20756966140699	9.47327120307676
"10"	-0.0297066594432822	0.0933860965759726	0.39816541886457	0.170778407927276	-0.0357015857065603	0.0236233186350719	0.167325053151772	0.0780838370351467	0.157696456392075	0.314446259965412	0.320394210160991	0.375135156740168	0.156034444942743	0.00969012443655105	0.178226051032089	-0.0957364809442755	0.113413387641402	-0.131562311231596	1.8155577132922	1.00317029636724	1.29264374754936	-0.597695694245142	0.499725325586927	0.1310649760718	4.16147746012452
"12"	-0.0542171254472193	0.0311840274216245	0.344383459668065	0.115296432613094	-0.0298006114549279	-0.0872602181065728	0.00109759798585465	-0.0255218867629997	-0.162511986223117	0.29213072396119	0.414257060619226	0.46792090535456	0.0520922642140355	0.00553987018657709	0.157917255309308	-0.0891093611064985	-0.0422506398779469	-0.194519546677367	1.12338229276945	2.47384311878099	1.21741379369758	-0.543686869965907	0.38634459598471	0.396622791253103	2.89231548084233
"2"	-0.0499990639999444	0.142227500974791	0.172760672115102	0.253030985260881	-0.0200784720206324	0.292002974747723	-0.0110803013714007	0.00134361737879563	0.499059524987924	0.341209414362859	0.330804415291437	0.212310651477334	0.320197162043406	0.0567221725969722	0.141269445983262	0.0551928989922535	0.0126096141719214	0.100453933932504	1.39710246961576	0.667473131393521	0.404750535621144	-0.434447736168144	-0.0262641694206282	-0.0840803876821333	1.33969174128435
"5"	0.00759118000912247	0.0783124516388999	0.264448335728167	0.20050740014454	0.0334422883204407	0.242200515635477	-0.0147087904777695	-0.0660646649853873	0.267200431932825	0.334557312566757	0.373903421607645	0.148513145757841	0.121262599414945	0.0013621824226024	0.171209567002107	-0.138718538757267	-0.305163938653817	-0.105579203347523	1.72090174034898	0.463359455339146	-0.232549741067594	-0.379136167561745	-0.0101359942782137	-0.357225540426664	0.522876535608672
"9"	-0.132168214598256	-0.0137298325009541	0.349643631334692	0.166747244842913	-0.0859276116109354	-0.108227500630983	-0.073711010478475	-0.0410010308280826	0.123103711780384	0.293544853644168	0.469812181162539	0.165209438880215	0.133085264690384	-0.0561020524901364	-0.224777713995707	-0.0852315684734865	-0.474969262823597	0.0844266563846818	2.07815772204824	1.19641297571354	-0.532601989598434	-0.664301246078824	-0.172919053876866	-0.498076799422136	-0.399511100753863
"17"	0.0871132234331224	0.0590860578718798	0.404264762305042	-0.139058112638756	0.0326204574261679	0.181820370800036	0.22436787954128	0.153138453315299	-0.421759903139926	0.403866645791318	0.404033925924074	0.0683449714395116	-0.234531994908321	-0.0193798509637121	0.164289873489687	-0.00965595650500845	-0.328587902178957	-0.214877404160863	-0.534035096210457	-0.856582610593369	-0.842871516298428	0.403789717932268	1.6634119264017	2.4043963020537	-2.20784403296088
"11"	-0.006933534146588	-0.0689120048819574	-0.106341997965649	0.153657152956477	0.0322495361769096	0.11387883006983	-0.132444545132	-0.0966803394482917	-0.103951919207095	-0.27317869131057	-0.231775356350951	-0.310129179420693	-0.117886764916427	-0.0612444087362238	-0.0934509810417379	-0.302961539009815	-0.29088911334778	-0.120631691462864	1.78283118699236	-1.78660161607188	-0.756603190602289	-0.306907285030413	-0.290377706806165	0.0690027052139748	-2.01179443121085
"16"	-0.00485332825362564	-0.173707862471593	-0.291215187960316	-0.0684479957852688	0.0339072343368532	-0.189318460969236	-0.303066854275994	-0.262576220075843	-0.277255122277183	-0.569396789143569	-0.444959648542133	-0.354756654918424	-0.125805650065219	-0.0831075852544104	-0.273118807828457	-0.168285087804894	-0.475406023616399	0.544114980694727	0.883551020935639	-1.36884217395801	-0.952119750521565	-0.36145149395032	-0.506545962574112	-0.368465399519612	-2.34811853258077
"15"	0.0972235254349972	-0.0569848503813055	-0.270329005772629	-0.0539149161374913	0.0567458330061065	-0.0687584442458017	0.148598658659119	-0.249778502096178	-0.270672465388267	-0.216428884244636	-0.314946047892768	-0.232503971239947	-0.15386182726485	-0.0643026035471816	-0.238087815642977	-0.154012221504594	-0.338134278507675	0.161841328225535	-0.651375592158414	-1.16274761273667	-0.671536300485739	0.186631346646041	0.549848655046434	0.152323474162495	-1.51143735852965
"1"	-0.0402426600068803	-0.0672357649964314	-0.163952962924394	0.0414956135933701	0.00681399519049596	0.0788142494193323	-0.0494620210435669	0.110326961159328	0.506392158119616	-0.308566862393076	-0.315157651425421	-0.301723219305427	0.071605992483625	-0.000980331981410991	-0.114271456829042	-0.0830340901951976	0.430913099383948	0.131742245153647	-0.114330880001986	-1.2796025196462	-0.84846659417378	0.638753574333615	-0.576941834315319	0.63741179315513	-2.5281608569022
"4"	0.0903834477777221	-0.0341598504281002	-0.0811120701054628	0.11736925358447	0.1364192805445	0.196948757584509	-0.223195146259682	0.339028955620097	0.318943651140162	-0.242606503791843	-0.225870108767364	-0.354931977537988	0.128208622690643	-0.0232358738290725	-0.113196375394793	-0.23545503654162	0.333434938300537	0.140394325741483	0.901279282311477	-1.70375694633217	-0.981706743383149	0.496298807698132	-0.231065742728257	0.647705364663569	-2.31798983473014
"8"	0.0760294617758838	-0.0745170366800694	-0.32739574169056	0.0759280840300554	0.111542086190666	0.14914977480659	-0.189330193985574	0.187443274227597	0.248482238815201	-0.340836388323824	-0.426537674457344	-0.478569853204853	-0.180109845386449	-0.0577418963720373	-0.216882808665858	-0.273929678139199	0.276597568089466	0.315747483985421	0.684739376364837	-1.75493570530804	-0.959930707760002	0.455527301302751	-0.391528056557667	0.499554642390159	-2.6490182113065
"13"	0.000328128242368791	-0.160199407911523	-0.126537408847518	-0.268128705835702	0.0338031201645967	-0.0534651680837592	-0.0556382195298146	-0.0490252619480898	-0.111821741649183	-0.267949620309493	-0.214626979684359	-0.486685479065094	-0.165784791692928	-0.00651375808740901	-0.0565745326382915	0.184952372309317	0.279898596144403	0.394691491275158	-1.64662693663179	-1.66905091687716	-1.0013570158983	1.61992935148725	-0.165017953197337	-0.389453200332828	-2.09169648162937
"7"	-0.0863307700110974	-0.138418449033469	-0.381901944592913	-0.21412286862195	0.0207155873437334	-0.0956628404388412	-0.13415163093564	-0.109613160603977	0.217473592554627	-0.639630476334435	-0.386614700826538	-0.333534044676823	0.135441420599446	-0.057437659591912	-0.150605494042142	0.165393497845875	-0.207510596057169	0.399746512899628	-0.939365391053953	-1.66869856707293	-1.02293284141489	1.36450043181539	-0.649441872278767	-0.266885169022541	-3.81238685041435
"20"	-0.0383912099530286	-0.270353759147773	-0.437563691455748	-0.353308961712087	-0.0450368539128136	-0.236133988726918	-0.231311178463189	-0.33632465676148	-0.565650782786182	-0.442681784754836	-0.509131424239693	-0.306041849681047	-0.245691364006384	-0.132290988418019	-0.338548716340831	-0.235350571295778	-0.57723026743992	0.556312619421826	-0.823680189693657	-1.00103890558766	-1.11945793156958	0.509445621228789	-0.927006518764753	1.39662157892293	-2.0963691598896
"18"	-0.378555746881779	-0.425709151043034	-0.450236061417957	-0.511952157093016	-0.262414611692335	-0.23532180178136	-0.257798957658994	-0.330111691389008	-0.300503210510424	-0.86358376908755	-0.3596408409823	-0.291285708686684	-0.026782187037289	-0.0907951646544451	-0.497746011796904	-0.139044882989009	-0.549553604059825	0.566749815583066	-1.36529127526421	-0.95123298323496	-1.468961708227	0.464896127700295	-0.774626162343931	-0.211622318462463	-2.69439921373058
