" CD73"	" TCF1"	" CD226"	"TIGIT"	" CD127"	" CD8"	" FoxP3"	" dump"	" CD39"	" CD28"	" CD3"	" IgG4"	" Eomes"	" CTLA-4"	" Ki67"	" Tox"	" Tim3"	" T-bet"	" PD1"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"
"6"	4.20632098251047	4.10054412157642	4.10825228290958	2.08375802373707	2.92642801375058	4.60463491068964	0.110605200199071	1.92295359483526	3.36523479125196	4.58832784895652	5.08878421994437	1.69977813960896	2.11295103521323	2.54523814347896	3.5680008121325	1.96439988714149	1.52640281750949	2.57947970405745	1.50453869191307	3.65947579175631	3.35602609778128	2.4334777806156	0.753075199878449	1.63294036033471	1.42820777903039
"4"	3.87618633728974	4.11851650889793	4.08036712670903	2.07091290549833	2.9352398687466	4.68955798925568	0.0298587044639817	1.89218615994627	3.31170656515431	4.35654117449428	4.79846334537041	1.6247024198034	2.01089478423559	2.55114261653972	3.53382209835885	1.87847293297901	1.4943968892	2.50501754446833	1.63926407343117	3.59070113447085	4.09926078301521	2.12672152505527	0.786012563162532	1.72886037161574	1.55140255169476
"7"	4.09811472593813	4.12029459286766	4.16363784696661	2.28373189787677	3.05386338237277	4.74653368272296	0.0812156336172025	1.84374384698237	3.41188811920048	4.53255447982005	5.5000683936182	1.69251239670168	2.20996928823048	2.56073849152655	3.73882937059599	1.99725661354032	1.57864426591127	2.5330718704739	1.71959053773229	3.93160563375941	3.52120363870938	2.34999247081133	0.612312644968917	1.57131851617187	0.986835356366204
"8"	3.81035627031113	4.08017758231932	3.9957523511457	2.16590703560345	2.91136253829282	4.49185261317533	0.195013177827055	1.77837514874929	3.22530004892803	4.36693248860821	5.25505254232074	1.60906967682187	2.20419844046008	2.50784933022493	3.57175346364131	1.89143793130949	1.50836378468726	2.50229683091715	1.55045634843551	3.76678949146206	3.59858988566636	1.99474810031284	0.66733515951487	1.36147875157353	0.611998741881273
"1"	4.46658156073841	1.50575266538452	1.85730693325449	0.438020115543636	0.727387998167212	0.273917204436488	0.774094390467307	2.89312627029083	3.67126574156797	4.39920959210503	4.13465000052627	1.65240513854435	2.0597391763889	1.65147173547665	2.6602117350255	0.532084315176005	0.197323422251363	2.12393641669989	1.06751483899312	1.50012758649914	5.5660820226051	2.59346229398481	4.1693068727744	3.29119184877926	2.93097153306676
"12"	2.38927625422131	3.93829977024776	3.98279609177662	2.19992520123767	2.88627207121456	4.60494954569444	0.214403131762483	1.71621562562832	3.19322073090698	3.82357061986333	5.33369158973121	1.52014698044815	2.45370866711612	2.44480479998809	3.66420237278986	1.73828199156058	1.31159807819351	2.53929616603617	1.80397584580401	4.02657263758722	3.79954764212479	1.08465252765325	0.259726121065741	1.28484700964692	0.315355159394216
"11"	2.40046977504257	3.93906284164823	3.91799520246161	2.10631262652827	2.90623051926043	4.62510241880431	0.395595272786327	1.70553029279776	3.14493162028158	3.80674098284429	5.11271091383697	1.47589035729214	2.22507272107026	2.44540822625047	3.60584532480507	1.80476093189909	1.3046497579408	2.4453444334191	1.76436628505862	3.95037055684582	3.66322301298827	1.18632204154534	0.393456415840895	1.29214096880982	0.531197794462283
"13"	2.95768760838929	3.9782411658041	4.05538102346219	2.32557908824667	2.9568878771635	4.67122079724207	0.235052855768035	1.83324372325862	3.29629894113752	4.06255774505592	5.64970443223792	1.61869397040282	2.46461783859198	2.47324127987335	3.74707241728478	1.80986118999731	1.34499802877986	2.60067844562498	1.90749624273375	4.09968718330525	3.8636727009614	1.40953971810632	0.319330543699724	1.33191146341541	0.548937506347007
"3"	2.50753413912624	3.90242535570033	3.7667022195483	2.06126047188705	2.79456314765035	4.48969062658008	0.595879956584443	1.61963361693265	3.12554501426345	3.73197774403374	5.05978274378437	1.50062428191685	2.47383102976718	2.46440862919637	3.58736647534171	1.46080096532713	1.07046054223094	2.51008533725423	1.74014071527501	4.01907108701765	5.34801767816415	1.07260529624706	0.204810602069328	1.07221602753702	0.0148391312980234
"2"	3.85137344621805	4.02534229376371	4.07474244032333	2.20869289664542	3.00594987143799	4.62974635912271	0.0174606910226415	1.81835539381201	3.30651004471921	4.38625829707391	5.37833834420724	1.6575066166121	2.25963077974292	2.51828472602499	3.7722362408886	1.86196185557792	1.49394112036394	2.49812352014589	1.73414163730409	4.06533655804929	4.82169745953483	2.00339113996125	0.362101286703728	1.45378824219584	0.440466582904648
"5"	0.555123870951781	3.98574217758011	4.07986483778336	2.19307239824649	2.90700442961822	4.78535169095122	0.0208389156164741	1.74167141436099	3.28881616527618	3.6761178391711	4.64531323516996	1.51646259316308	2.1084670588295	2.46998688995459	3.52461996682298	1.77752473969152	1.40851447863148	2.45337079355172	1.89665058041423	3.65909925985707	3.55943274760526	0.96044089540878	0.596187077697011	1.73504386548092	1.38473260477558
"9"	2.11144518620764	4.17374666890964	3.95741313354197	2.19751224890859	2.8215161145273	4.5802789837175	0.190748703878972	1.78166905055227	3.17482995973484	4.13311702220929	4.92050578197387	1.57323902812794	1.98258016763996	2.59289400823642	3.4604930072177	1.82518458305081	1.40501886450225	2.21483923470096	1.55212735108729	3.34163449676153	2.7991256455421	1.05049222223904	1.06918518788832	1.55135081264673	1.08557169812375
"15"	0.241149841083605	4.09209743849143	3.91592087093721	2.29931484369423	2.79188015681028	4.45509584439857	0.408507960162887	1.66645404625949	3.03762169614543	4.14598836127217	5.3829107487879	1.5338994884894	2.12642248064085	2.62092449995841	3.72812779502095	1.71309500342791	1.37360433355412	1.96933032425653	1.5884694563093	4.14333625908329	2.83696674350297	0.101501522323894	0.579327097244651	1.15388277325973	1.39276620035817
"16"	0.0869566864271704	4.06123853596019	3.92720197770247	2.20503697404947	2.76137368703328	4.4525426893318	0.167345933429751	1.74124366277871	3.12770881137029	4.18234300796384	5.15302993895524	1.53454151581576	2.10924283196188	2.5844965711725	3.70304447978941	1.79802400281568	1.38709923714591	1.94348805555067	1.54853258531958	4.02001727125424	2.70057104464484	0.399406622405598	0.821059539406097	1.29623171351049	0.772669103004686
"14"	0.102399243454377	3.86836252659199	3.77345507935113	2.01959427636149	2.5095839764212	4.17017307977946	0.769017585650836	1.60282567140734	2.94699739980195	3.75997260032802	4.90696383428343	1.46065762758662	2.13996263043733	2.48002104417952	3.53839406675957	1.62107201886738	1.23876594071625	2.03442503623817	1.42959500428759	3.8037047699049	2.7399959578608	0.342940124278303	0.494875893562766	0.926277758152427	0.0222583558533564
"10"	0.875150596602873	4.0803561263666	3.77373330144837	2.10675458374604	2.69998953489434	4.39953895332592	0.523833280234413	1.70223679703184	2.98037755083102	3.82485263932109	4.61451768389634	1.46735440926432	1.97886049736523	2.53928850649622	3.22026722807476	1.75639559788314	1.27320158218957	2.10807444792003	1.45264324064036	2.42985086037748	2.61749984569836	0.294812832760117	1.24565747046425	1.34621578542906	1.12676896679356
"17"	0.618575721782446	4.02369496250795	3.90064761968617	2.31514181066895	2.63023839446778	4.20218599673622	0.504901548178365	1.80901366279986	3.1697276120909	4.34985617747025	5.63822057784045	1.58253585918052	2.23901818239234	2.60601504447708	3.61933505283484	1.72245639695343	1.38856903318178	2.02344845471238	1.35444612035909	3.658053058009	2.80042434395822	0.0020722303038079	1.30417262045496	0.759625249838627	0.882385558191989
"20"	0.718511622637537	3.99563308455886	3.79068330047464	2.14473080181898	2.52185512390545	3.97656940900375	0.7033956800929	1.70253670688139	2.97846854480256	4.14756235937115	5.35872458844069	1.4958965062923	2.13690032365972	2.58014518561539	3.48053419381631	1.67871220234583	1.34097529647031	1.91812712832391	1.22400772348348	3.45799419383933	2.51118907358105	0.109481260233424	1.1652531178435	0.689698873074261	1.0411236204384
"18"	0.859944492817777	4.08595974153102	3.77386883478073	2.13723402350804	2.59806668655226	4.15012906858509	0.630057627385946	1.74046886847582	3.0260604394074	4.10694549394565	5.10593225259312	1.47280357888345	2.03937012004929	2.60561032740383	3.3334285337599	1.71778392892114	1.31276081521845	2.01854061300011	1.26742184154205	2.79668091752847	2.48931287557491	0.0659561211284896	1.32987015192998	1.07648196841688	0.169062302630149
"19"	0.700974018614773	3.65291611686652	3.46571163557998	1.84939075999488	2.3254739809316	3.63613311895241	0.875939193224419	1.63977928890013	2.68480126802789	3.56731518879567	4.83728218721906	1.4472349286068	2.07824344740566	2.30639054222318	3.02233648476763	1.50152336787965	0.991046533174781	1.9802498668065	1.18392239867468	2.39384642978358	2.38425134712261	0.122383734541438	0.976956800183803	0.503072992517883	0.425394952469145
