" CD73"	" CD4"	" CXCR5"	" TCF1"	" CD226"	"TIGIT"	" Tox"	" CD127"	" Tim3"	" CD8"	" CD27"	" CTLA-4"	" Ki67"	" CD3"	" Eomes"	" IgG4"	" T-bet"	" PD1"	" CD39"	" CD28"	" dump"	"CD45RA"	" CD38"	" FoxP3"	" CCR7"
"18"	5.33724558658203	3.42594044053311	-0.619319477580818	0.078412259499701	0.126738500064272	0.0895728047998633	0.279842703983096	0.305724431237272	0.330428379387375	0.253360320578099	0.581849144284064	0.00705181513038073	0.0604113088823299	0.0384735137128428	-0.065440493222835	0.0491721244792503	0.370176319814703	0.272842820283766	0.218417118562076	0.214767200419081	0.0228735711331133	0.423723086161674	1.64879754335578	1.67741919479507	5.54577889876233
"16"	5.65567578054476	3.49981797006084	-0.539775055865542	0.0195157222883908	0.0472885100022739	-0.10894072993458	0.188609762020211	0.264168966006796	-0.0840929948231799	0.201755995879691	-0.345101467068492	0.00556681370991847	0.0290762233556205	0.0274253312181111	0.029959881001441	0.0524918156366258	0.310975270989446	0.119812789528655	0.127973454046525	0.140616531123635	0.131250159457124	0.295077042412186	1.27639742161351	2.37378100333547	5.08722948811908
"17"	5.01549003509652	3.4645293305888	-0.61544622232541	-0.00970311815129191	0.122080768221128	0.0679592633088291	-0.118502550063438	0.171727253219187	0.271660918540218	0.224341271026793	1.21537435769495	-0.031586555048789	0.124953646744068	0.0588759276360609	0.016044582060913	0.00378999810935563	0.231619845896476	0.337003099246001	0.184717397645165	0.009918343997402	-0.0172240366474069	0.46810944007561	1.1611981325097	-0.646056675446136	4.40195787885269
"8"	4.24227704396756	2.89557749863839	-0.48298839663514	-0.0382179510745545	0.0774196052294866	0.068183497231108	-0.0677359219190477	0.0978813161185887	0.306781447446049	0.16924960216802	1.33339026162395	-0.0134598373399675	0.182971154761287	0.119424562656876	0.147807920071548	-0.0320133582667504	0.120371502453529	0.25781307500779	0.120931462133372	-0.0189845564755836	-0.117395571748064	0.524857991425293	0.592947521741811	-0.691527324003007	3.22136475725412
"14"	3.58227475535427	2.70477434681734	-0.407256062332341	0.0456331302729742	0.0623681338009072	0.0609763675500112	0.200283454632479	0.15116986910275	0.502948826302222	0.149828649831609	0.627795671302989	-0.0010520770907379	0.097917589263468	0.0938505911044235	0.0135040018620693	0.0128560467697024	0.0566660426664407	-0.170065078913496	0.146238891228732	0.238025395529053	-0.202893595288212	0.150523326519471	0.606874121686804	2.33280308826096	2.60216105226553
"10"	3.02905972873214	2.0681681225813	-0.413219660435179	-0.0219398656371627	-0.012058356283727	-0.0276263558491508	-0.0676061891116337	0.113828634039431	0.0764410610757331	-0.128874793021288	0.682266270866062	0.0254521289840799	0.0947363513764605	0.0994177889401011	0.0856458464633887	-8.68447045666759e-06	-0.00346096373930163	-0.16883443814179	-0.134518678110641	0.184183371796451	0.133197748970468	0.0778506476690112	0.63611854376945	2.19945403605159	2.79560579602834
"7"	3.08374478927841	2.86023489814532	-0.296292205025957	-0.066938208418464	0.000194935318727578	0.0957172020501004	0.122047793508785	0.155219889028237	-0.116421534704689	0.0404535089202923	0.279718481919176	-0.109398391416691	-0.0046854543598606	0.136925767337759	0.158969426854883	0.0436890819844425	0.177111554080489	0.0923501782712342	0.0427629966407538	-0.0331919789854568	0.0163035566991205	0.244670655859459	-0.111384995352513	-0.121726328786227	0.590091890269873
"5"	10	3.76707158197836	3.25046125757778	-1.41287652177197	-1.1580247891239	-1.05868845666287	-0.924315381877182	-1.35774687691464	-1.34104460182216	-2.75730578426076	-1.18453933454467	-0.513682994833677	-0.4828115962925	-0.540537369891507	-0.1362905687672	0.0513053083292083	-0.347493664923812	-0.307708407173368	0.290573239619491	0.25573843144922	0.780015720739691	1.98467937110184	1.41265304206134	1.00140647786423	6.20944554548063
"20"	-1.27501767707732	1.63308306173771	-0.118685004813342	-0.0146100091642993	-0.00331880150745532	0.000470300673128959	0.0398223707417994	0.123924078810487	-0.146279382128291	0.150793193148886	0.367335607730755	-0.019340998592533	0.0757470090640345	-0.0358766879190942	0.0752604925177624	0.026278739703391	-0.0552735637141225	0.13898424921615	-0.0886879664034206	-0.0945787161753399	0.0622471060255562	0.196496594530245	0.373281724357743	0.20230288568873	3.32977455248854
"9"	-2.96879085883391	1.91695645524846	0.313745322813102	0.0416528616133018	-0.0611019165953839	0.114392981149766	-0.17158344187583	-0.0640366541863681	0.34102391930165	-0.141350127443942	0.179858016372138	0.0838321431448072	0.0601317902127452	0.073447043466886	-0.0932034404925557	0.00089250737445531	-0.209640421934654	-0.134558189150807	-0.165092050317946	-0.185282879375982	-0.177222936173468	-0.410681278720499	-0.431128698316873	1.86277292460284	1.8151976722905
"4"	-0.832303541908572	-0.50753928238483	-0.797073065201264	-0.0909801483731838	-0.13762315653205	-0.0425049881351742	-0.126651140073916	-0.0848909681046357	-0.0728111395764852	-0.164319938189069	0.789366225372499	-0.0139944805002058	0.0805004546787466	0.0797053317357432	0.1021361823782	-0.0541257049491345	-0.0887918793819146	-0.0768833580259671	-0.172506231563834	-0.133499401839886	-0.147187928380472	0.0437278865381481	-0.347278075351182	2.43750894408183	3.25217363745289
"19"	-0.892431658937653	-0.827877823294791	0.316896958185657	0.0376749910340008	0.0129090183036232	0.0845392760124503	0.139089765768547	0.155139196909649	0.100520944522703	0.106867452553055	0.410624468502598	0.00407717867686985	0.0523610823792672	0.0469284351758561	-0.127818270074229	-0.0163088026275382	-0.0994452112678206	-0.0789345636022424	-0.0985490620567598	-0.0481376913482059	-0.0543826949400719	-0.155464624057537	0.588853442819502	-0.293564343724957	0.334274675466493
"13"	-1.5637049421468	-1.14440154477687	-0.131037428791057	-0.0248054957892176	-0.0540555942714269	-0.0558727019069596	-0.0537158629451649	-0.0676599936388314	0.233770082918623	-0.16719584133385	1.06166421270287	0.0202947445232387	0.0961428089967133	0.0771629215131355	-0.080209727606557	-0.0284878223065396	-0.268779522939972	-0.104643867929559	-0.143903850358444	-0.12320714686608	-0.165759034077226	-0.186836728777256	-0.393487467132132	0.0331033039378168	1.92110405097836
"11"	-4.18351400430881	-1.9000259851642	0.409955744019363	0.00633631982437584	0.00999479134012597	0.12310607411548	-0.0663425753457814	-0.0990793004253658	-0.111287326045288	0.119503616367112	-0.290473520421636	0.0448749506664629	-0.0184075542743946	-0.0973757303818772	-0.109987207531016	-0.0217921539013646	-0.0656144439369718	0.11611350538312	0.034260431630398	-0.116281485565329	0.135732177063329	-0.512861028642235	0.926934654409995	2.38710892480203	3.6252314076242
"1"	-2.62019852711088	-0.700107598918523	1.89560182477236	0.0618404537822476	-0.0146626138509813	0.136922602157358	0.21593585218778	0.118294614491151	0.113781628361722	-0.117850889763847	-1.39641826743146	0.0387316307961588	-0.219227115841697	-0.126341760977072	-0.142776096618186	0.00787045909903646	-0.295970535305466	-0.121783980100129	-0.101401095018348	0.129497266637278	0.0913765991264245	-1.05225545193458	0.928455960651861	0.0584296670201922	4.56053281584002
"15"	-3.75297550635476	-1.10240923169777	0.525539837510157	-0.0102155548806611	0.0695309706397592	0.111018134019977	-0.00156042721801017	-0.045448446870761	0.0523746294829867	-0.0102690283486841	-0.341858437533716	-0.00672013027842966	-0.0391719487355485	-0.0908290538035688	0.00941824352736072	-0.0629822454416482	0.0400195775894898	0.0538930598839494	0.117163461581944	-0.150695805746254	-0.0908609480304219	-0.368590599963141	0.457969656056445	-0.403860987262497	3.68745391652412
"6"	-4.59408743486926	-1.09887470833871	0.721167672619422	0.0772025161583502	-0.0309090167680183	0.112304828358489	0.190782188556448	0.159684127774314	-0.125746112116825	-0.112024414084415	-0.224738242681281	0.0254961245224419	-0.0636541698946192	-0.0884682638522075	-0.114217968477823	-0.0269884680931698	-0.164212237139071	0.117305097814863	-0.144082655811485	-0.213003102337688	-0.081977882264785	-0.799761356426055	0.826404588319271	0.188603416032414	3.41387425902143
"2"	-3.31038415239507	-1.10912557204572	1.61547215237245	-0.125266035451517	-0.137306617127674	-0.0891188510084895	0.0220903467937638	-0.0535749680130104	-0.073378761105982	-0.440418678037643	-1.33161019960246	-0.0778665269498764	-0.318682125314047	0.00499162764052288	0.0853996487064	0.0369787913531387	-0.186238715135812	-0.276681918052387	-0.122440596027307	0.106967553745193	0.144736702344743	-0.364166689580009	-1.57487816167672	1.67833519290376	-0.172044871917288
"12"	-4.49168230120172	-0.575430905880036	0.456848594319471	0.0293482812164657	-0.0693535568416757	0.10964564379022	-0.145375111839191	-0.180307849292216	-0.124681273779498	-0.120772366026382	0.23168162792563	0.0552369075578703	-0.0248383859792334	0.0745411224041506	-0.131464294324877	-0.0668636218576532	-0.269924896007266	-0.101417156640757	-0.188114541676399	0.139704091285999	-0.185871462693	-0.948994424020033	-0.506998587039666	0.735073343842879	2.73043844973207
"3"	-4.33515088912438	-0.45915031403951	-0.156697531607016	-0.0587686673925637	-0.10683926390011	0.0124267421243327	-0.149161169706809	-0.149114873457803	-0.116228604323785	-0.164953164406005	0.315128913738732	0.0113329153603024	-0.0359632823425142	0.0914977624634584	0.0544447265529006	-0.0984812180462829	-0.0117002836137996	-0.0967261803584315	-0.141073703912474	-0.0864445761128545	-0.0864781732540615	-0.379801889425033	-0.0987735092255152	0.0401698250245422	1.15492225784139
